Día,Frecuencia,Tweet,Tipus tweet,Tipus user
2014-10-05T00:00:00Z,361.0,RT @jofrellombart: Un regidor del PPC va fer un tuit amenaçant el President. Un altre regidor del PPC es va ABSTENIR sobre el 9N. Han obert…,noticias,media
2014-10-05T00:00:00Z,248.0,RT @alexdesuria: Un regidor del PPC va fer un tuit amenaçant el President. Un altre regidor del PPC es va ABSTENIR sobre el 9N. Han obert e…,noticias,ciudadana/o
2014-10-05T00:00:00Z,190.0,RT @Candeliano: Eran tantos los alcaldes catalanes apoyando la consulta del #9N que la foto no cabía en la portada de @elpais_espana http:/…,humor,ciudadana/o
2014-10-05T00:00:00Z,184.0,"RT @Araeslhora: El món casteller també fa pinya per la consulta! Gran ambient al @concurscastells. El 9N votarem, el 9N guanyarem! http://t…",campaña,entidades civiles
2014-10-05T00:00:00Z,148.0,RT @MarcSerra21: Fes RT si tu també creus q la unitat és benvinguda si serveix per fer irrenunciable i innegociable el #9N ! #cimera9N http…,campaña,politics
2014-10-06T00:00:00Z,628.0,"RT @lacompetencia: Campanya camuflada pel 9N d'en Mohamed Jordi.  Consell: NO llegir línia a línia de baix a dalt, sisplau. http://t.co/D2Z…",humor,media
2014-10-06T00:00:00Z,214.0,"RT @lacompetencia: Aquí teniu la campanya camuflada pel 9N, del Mohamed Jordi https://t.co/fuG9qny1RP",humor,media
2014-10-06T00:00:00Z,133.0,RT @assemblea: ALERTA! Últims dies pel registre d'estrangers residents a Catalunya perquè el #9N2014 puguin votar! Feu-ho córrer! http://t.…,organización,entidades civiles
2014-10-06T00:00:00Z,124.0,"RT @Araeslhora: Els monjos de Montserrat, per la consulta. La societat, des de tots els àmbits, es mou pel 9N! http://t.co/iiGGZB15i8 http:…",campaña,entidades civiles
2014-10-06T00:00:00Z,122.0,"RT @CiudadanosCs: .@Albert_Rivera: ""Instamos al gobierno de ESP a hacer cumplir la ley, la resolución del TC y suspender la campaña 9N"" htt…",campaña,politics
2014-10-07T00:00:00Z,200.0,RT @assemblea: ATENCIÓ! Avui és l'últim dia perquè els estrangers residents a Catalunya es puguin inscriure per votar el #9N2014. RT http:/…,organización,entidades civiles
2014-10-07T00:00:00Z,177.0,RT @Araeslhora: El #BusGroc és a punt de sortir per arribar a tot arreu amb un missatge clar: fem un país nou! Ara és l'hora! #9N2014 http:…,campaña,entidades civiles
2014-10-07T00:00:00Z,160.0,"RT @JORDINADOR: Visca els @NousCatalans! ""Cues d'estrangers per incriure's per votar el #9N2014"" http://t.co/xfvT7sGZSn @elsingular http://…",campaña,ciudadana/o
2014-10-07T00:00:00Z,157.0,RT @voluntaris9N: IMPORTANT DIFUSIÓ: punts d'inscripció al registre pel #9N2014 per estrangers i vot anticipat fins avui 19h. RT! http://t.…,organización,entidades civiles
2014-10-07T00:00:00Z,109.0,"RT @Araeslhora: 920 municipis, 37 consells comarcals i un clam social i parlamentari pel 9N. Ni un pas enrere! http://t.co/oKYp7ZQ2SV http:…",campaña,entidades civiles
2014-10-08T00:00:00Z,169.0,RT @salvadorcardus: Estic fins al capdamunt de les especulacions sobre el 9N i de les suposicions sobre allò que ningú no sap. Si no sabem …,dialéctica,entidades civiles
2014-10-08T00:00:00Z,159.0,RT @cupnacional: Última hora | Ocupada la subdelegació del govern espanyol a Girona en defensa de la consulta del #9N2014 http://t.co/RO8Mq…,noticias,politics
