Día,Frecuencia,Tweet,Tipus tweet,user,Lang,Tipus user
01/10/14,291,RT @quimarrufat: 300 Special Units of Spanish Police & 10 cars of Spanish Guardia Civil were sent today to Catalonia #CatalansVote9N http:/…,noticias,quimarrufat,eng,políticas/os
01/10/14,253,RT @epaluzie: Sóc funcionaria de l'Estat i estic disposada a col·laborar en la campanya 9N #Funcionarispel9N,organización,epaluzie,cat,celebrity
01/10/14,237,RT @mats_jordi: Federalistes marxen cap a Madrid amb l'AVE. #9N2014 #terceravia @La_Retaguardia http://t.co/Lda6LAZZ2K,humor,mats_jordi,eng,ciudadana/o
02/10/14,348,RT @Esquerra_ERC: Cal reactivar els preparatius de la consulta. Cal que tot estigui a punt per votar el #9N2014 #votarem #SíSí,campaña,Esquerra_ERC,cat,políticas/os
02/10/14,298,RT @ACM947: Ens ajudeu a fer difusió? Aquest dissabte el municipalisme farà pinya pel dret a decidir! #ajuntamentspel9N #9N http://t.co/v5a…,organización,ACM947,eng,entidades civiles
02/10/14,252,"RT @Esquerra_ERC: Suport a la consulta #9N2014 : 911 ajuntaments. El 96%. Representen 6,6 milions de ciutadans #vullserlliure http://t.co/j…",campaña,Esquerra_ERC,cat,políticas/os
02/10/14,208,"RT @ang_guillen: Brutal síntesis en ina carta al Director de El País de lo que es ""la consulta"" ilegal del 9N. #9NNoGracias http://t.co/bnO…",noticias,ang_guillen,eng,políticas/os
02/10/14,181,RT @Araeslhora: El 96% dels municipis ja ha votat a favor del 9N! 911 de 947. Ningú no podrà aturar la força de les urnes! #9N2014 http://t…,campaña,Araeslhora,eng,entidades civiles
03/10/14,3653,RT @VuenaOrtografia: VIDEO DE UN FAMOSO POLITICO SE FILTRA! http://t.co/6JGjhCEODH ¡VIDEO COMPLETO Y PARA FLIPAR! #ESTEMCONVOCATS9N http://…,spam,VuenaOrtografia,spa,sin datos
03/10/14,893,RT @HiginiaRoig: No és l'important arribar sol i el primer sinó junts i a temps. #Votarem #9N,campaña,HiginiaRoig,cat,políticas/os
03/10/14,538,"RT @ang_guillen: Brutal síntesis en ina carta al Director de El País de lo que es ""la consulta"" ilegal del 9N. #9NNoGracias http://t.co/bnO…",noticias,ang_guillen,cat,políticas/os
03/10/14,330,RT @ACM947: Ens ajudeu a fer difusió? Aquest dissabte el municipalisme farà pinya pel dret a decidir! #ajuntamentspel9N #9N http://t.co/v5a…,organización,ACM947,spa,entidades civiles
03/10/14,274,RT @SpazianiG: Miles de manifestantes piden votar el 9N: http://t.co/diAiStwtK8 vía @YouTube,noticias,SpazianiG,cat,ciudadana/o
04/10/14,472,"RT @junqueras: La força del procés és la gent, i això s'expressa amb el suport de la immensa majoria dels alcaldes del país pel #9N http://…",campaña,junqueras,cat,políticas/os
04/10/14,434,"RT @assemblea: Més de 900 alcaldes són a la Generalitat donant suport a la consulta del #9N2014! Fem un país nou, #Araéslhora! http://t.co/…",campaña,assemblea,cat,entidades civiles
04/10/14,381,RT @HiginiaRoig: No és l'important arribar sol i el primer sinó junts i a temps. #Votarem #9N,campaña,HiginiaRoig,cat,políticas/os
04/10/14,336,RT @324cat: Crits d'independència al Palau de la Generalitat http://t.co/ggUnecFuvD? #moció9N http://t.co/gWPecVGuyx,noticias,324cat,cat,media
04/10/14,312,RT @ForcadellCarme: 920 municipis de Catalunya donen suport al #9N2014 una lliço de democràcia i unitat gràcies alcades regidors x fer-ho p…,campaña,ForcadellCarme,cat,entidades civiles
05/10/14,361,RT @jofrellombart: Un regidor del PPC va fer un tuit amenaçant el President. Un altre regidor del PPC es va ABSTENIR sobre el 9N. Han obert…,noticias,jofrellombart,cat,media
05/10/14,248,RT @alexdesuria: Un regidor del PPC va fer un tuit amenaçant el President. Un altre regidor del PPC es va ABSTENIR sobre el 9N. Han obert e…,noticias,alexdesuria,cat,ciudadana/o
05/10/14,190,RT @Candeliano: Eran tantos los alcaldes catalanes apoyando la consulta del #9N que la foto no cabía en la portada de @elpais_espana http:/…,humor,Candeliano,cat,ciudadana/o
05/10/14,184,"RT @Araeslhora: El món casteller també fa pinya per la consulta! Gran ambient al @concurscastells. El 9N votarem, el 9N guanyarem! http://t…",campaña,Araeslhora,cat,entidades civiles
05/10/14,148,RT @MarcSerra21: Fes RT si tu també creus q la unitat és benvinguda si serveix per fer irrenunciable i innegociable el #9N ! #cimera9N http…,campaña,MarcSerra21,cat,políticas/os
06/10/14,628,"RT @lacompetencia: Campanya camuflada pel 9N d'en Mohamed Jordi.  Consell: NO llegir línia a línia de baix a dalt, sisplau. http://t.co/D2Z…",humor,lacompetencia,cat,media
06/10/14,214,"RT @lacompetencia: Aquí teniu la campanya camuflada pel 9N, del Mohamed Jordi https://t.co/fuG9qny1RP",humor,lacompetencia,cat,media
06/10/14,133,RT @assemblea: ALERTA! Últims dies pel registre d'estrangers residents a Catalunya perquè el #9N2014 puguin votar! Feu-ho córrer! http://t.…,organización,assemblea,cat,entidades civiles
06/10/14,124,"RT @Araeslhora: Els monjos de Montserrat, per la consulta. La societat, des de tots els àmbits, es mou pel 9N! http://t.co/iiGGZB15i8 http:…",campaña,Araeslhora,cat,entidades civiles
06/10/14,122,"RT @CiudadanosCs: .@Albert_Rivera: ""Instamos al gobierno de ESP a hacer cumplir la ley, la resolución del TC y suspender la campaña 9N"" htt…",campaña,CiudadanosCs,cat,políticas/os
07/10/14,200,RT @assemblea: ATENCIÓ! Avui és l'últim dia perquè els estrangers residents a Catalunya es puguin inscriure per votar el #9N2014. RT http:/…,organización,assemblea,cat,entidades civiles
07/10/14,177,RT @Araeslhora: El #BusGroc és a punt de sortir per arribar a tot arreu amb un missatge clar: fem un país nou! Ara és l'hora! #9N2014 http:…,campaña,Araeslhora,cat,entidades civiles
07/10/14,160,"RT @JORDINADOR: Visca els @NousCatalans! ""Cues d'estrangers per incriure's per votar el #9N2014"" http://t.co/xfvT7sGZSn @elsingular http://…",campaña,JORDINADOR,spa,ciudadana/o
07/10/14,157,RT @voluntaris9N: IMPORTANT DIFUSIÓ: punts d'inscripció al registre pel #9N2014 per estrangers i vot anticipat fins avui 19h. RT! http://t.…,organización,voluntaris9N,spa,entidades civiles
07/10/14,109,"RT @Araeslhora: 920 municipis, 37 consells comarcals i un clam social i parlamentari pel 9N. Ni un pas enrere! http://t.co/oKYp7ZQ2SV http:…",campaña,Araeslhora,eng,entidades civiles
08/10/14,682,RT @CitasPelis: UNA DE LAS ACTRICES DE 8 APELLIDOS VASCOS EN ACCIÓN: http://t.co/jILwlFjV1B ¡ENTRA Y AVERIGUA QUIEN ES! http://t.co/lgSQ9NC…,dialéctica,salvadorcardus,spa,celebrity
08/10/14,169,RT @salvadorcardus: Estic fins al capdamunt de les especulacions sobre el 9N i de les suposicions sobre allò que ningú no sap. Si no sabem …,noticias,cupnacional,spa,políticas/os
08/10/14,159,RT @cupnacional: Última hora | Ocupada la subdelegació del govern espanyol a Girona en defensa de la consulta del #9N2014 http://t.co/RO8Mq…,campaña,roquini,spa,ciudadana/o
08/10/14,138,RT @roquini: Els @estudiants9N empenyen pel procès!! Molt grans!! #SíSí http://t.co/eY05MEESoW,noticias,RaholaOficial,spa,celebrity
08/10/14,119,RT @RaholaOficial: UPyD escriu als 751 eurodiputats comparant el 9N amb l’ascens del feixisme a Itàlia i Alemanya  http://t.co/zFXNUJd0xK,campaña,Araeslhora,spa,entidades civiles
